restaurant_code,menu_name,price,description
5,복숭아요거치노,4700,상큼 달콤한 요거트에 복숭아를 더해 시원하게 즐기는 복숭아 요거치노
5,체리톡톡,4000,체리콕에 톡 톡 터지는 팝핑 캔디를 더해 재미를 더한 체리 톡톡
5,자두주스,4200,새콤달콤한 자두 주스
5,아쿠아레몬에이드,3500,레몬 에이드에 파란색을 더해 눈으로도 즐길 수 있는 상큼한 아쿠아 레몬 에이드
5,자몽에이드,3500,달콤 쌉싸름한 자몽을 시원하게 즐길 수 있는 자몽 에이드
5,청포도에이드,3500,달콤한 청포도를 시원하게 즐길 수 있는 청포도 에이드
5,복숭아에이드,3500,향긋한 복숭아를 시원하게 즐길 수 있는 복숭아 에이드
5,복숭아아이스티,3000,"남녀노소 누구나 사랑하는 달콤하고, 시원한 복숭아 아이스티"
6,숯불 무뼈닭발(맵기 중),18000,중급자용 맛있게 매운맛
6,통뼈 국물닭발(맵기 중),20000,"닭발 초급자용 매운맛
사리 추가시 +2,000원"
6,5. 아무거나 셋트(단품1+단품2+계란찜),33000,"(단품1+단품2+계란찜)
33,000원 부터~"
6,숯불 통뼈닭발(맵기 최상),18000,눈물나게 매운맛
6,똥집튀김,16000,안매움
6,국물떡볶이,16000,
6,대접 계란찜,6000,
6,녹두 빈대떡,9000,
6,김치말이 냉국수,6000,
6,날치알 주먹밥(한 대접),3000,
6,공기밥,1500,
6,무뼈닭발용 야채추가(1봉),500,
6,오돌뼈+날치알주먹밥+사각김,18000,오돌뼈+김가루주먹밥+싸먹는김
6,국물닭발용 콩나물추가(1봉),500,
6,자두맛 샤벳쿨피스(930ml)(930ml),3000,
6,"떡사리(국물닭발,닭도리탕,떡볶이)",2000,
6,"우동사리(국물닭발,닭도리탕,떡볶이)",2000,
6,"당면사리(국물닭발,닭도리탕,떡볶이)",2000,
6,"비엔나소세지 사리(국물닭발,닭도리탕,떡볶이)",2000,
6,"오뎅사리(국물닭발,닭도리탕,떡볶이)",2000,
6,사이다(PT 소),2000,
6,코카콜라(PT 소),2000,
6,닭도리탕,25000,"불맛나는 닭도리탕
사리추가시 +2,000원"
6,소금구이 볶음똥집,16000,불맛나는 환상적인 별미
6,무뼈 국물닭발(맵기 하),21000,"닭발 초급자용 매운맛
사리 추가시 +2,000원"
6,1. 숯불 통뼈닭발 셋트,37000,통닭발+오돌뼈+날치알주먹밥+사각김+계란찜
6,2. 숯불 무뼈닭발 셋트,37000,무뼈닭발+오돌뼈+날치알주먹밥+사각김+계란찜
6,3. 통뼈 국물닭발 셋트,39000,국물닭발+오돌뼈+날치알주먹밥+사각김+계란찜
6,4.무뼈 국물닭발 셋트,40000,무뼈국물닭발+오돌뼈+날치알주먹밥+사각김+계란찜
7,콩국수,11000,
7,검정콩국수,12000,
7,노란콩물 0.9L (포장),12000,
7,콩칼국수,11000,
7,검정콩칼국수,12000,
7,바지락칼국수,10000,
7,들깨수제비,10000,
7,만두,8000,
7,파전,,
7,검정콩물 0.9L (포장),13000,
7,검정콩물 1.5L (포장),18000,
8,콩나물국밥,6000,
8,김치콩나물국밥,7000,
8,제육비빔밥,8500,
8,강된장비빔밥,8500,
8,소불고기비빔밥,9000,
8,뚝배기불고기,9000,
8,고추장 제육볶음,9000,
8,육전,9000,
8,맛보기전,5000,
8,김치전,7000,
8,메밀부추전,7000,
8,녹두전,9000,
8,만두콩나물국밥,7000,
8,해물파전,17000,
8,모듬전,19000,
8,고추장찌개,20000,
8,편육,12000,
8,떡갈비,6000,
8,메밀전병,4000,
8,모듬만두,5000,
8,왕만두,6000,
8,만두김치콩나물국밥,7500,
8,황태콩나물국밥,7500,
8,굴국밥,8500,
8,해물순두부찌개,7500,
8,백합콩나물국밥,8500,
8,전주비빔밥,7500,
8,쭈꾸미비빔밥,8500,
9,등심 150g,44000,
9,한우주물럭 150g,44000,
9,영양갈비탕,9000,
9,돌솥비빔밥,9000,
9,산채비빔밥,9000,
9,마포소갈비5대,34000,
9,한우육회 180g,30000,
9,돼지갈비 250g,17000,
9,삼겹살 150g,17000,
9,목살소금구이150g,17000,
9,허브삼겹살150g,18000,
