restaurant_code,reviewer_name,reviewer_avg_score,reviewer_rv_cnt,reviewer_follower_cnt,reviewer_score,taste_level,price_level,service_level,review_content,review_menu,keywords
16,야나두,3.6,376,4,3점,1,1,1,"칼국수는 그냥 평범한 맛이고요 바지락이 많이 들어간 편이에요
김치가 맛있습니다",칼국수,"점심식사,저녁식사,가족외식,서민적인"
16,코코리,3.2,728,8,3점,1,1,1,칼국수 맛집입니다. 다만 점심시간이랑 저녁시간에는 웨이팅이 있으니 한적한 시간에 가는걸 추천해요,칼국수,"점심식사,저녁식사,서민적인"
16,제리포,5.0,4,0,5점,2,2,2,"40년 살면서 먹었던 바지락 칼국수 중 최고!
국물 개운하고 조잡한 맛이 하나도 없음
면도 탱글탱글 적당히 밀가루 향이 남
바지락 양 짱 많음",바지락칼국수,"점심식사,저녁식사,숨은맛집,서민적인,주차불가"
16,damdam,3.5,2,0,4점,2,2,2,맛은 구냥 바지락 칼국수 맛인데 바지락을 제일많이넣어주는곳! 푸짐하고 좋아여,바지락칼국수,"점심식사,저녁식사,혼밥,서민적인,가성비좋은,푸짐한,지역주민이 찾는"
16,임수정,5.0,1,0,5점,2,2,2,"20년 맛집
말이 필요없습니다 ㅎㅎㅎ
양도 겁나 많고 여기만한 칼국수 집이 없어요",칼국수,"아침식사,점심식사,저녁식사,식사모임,회식,데이트,기념일,가족외식,숨은맛집,서민적인,캐주얼한,가성비좋은,깔끔한"
16,손미정,3.9,15,0,5점,,,,가끔 진짜 미친듯이 여기 칼국수 먹고싶음 ㅠㅠ,,
17,2은둉,4.5,74,0,5점,2,2,2,4인이어서 세트 시키니까 오징어요리 다양하게 먹으니 좋았어요! 음식도 다 맛있었고 백김치도 맛있었어요!!,"갑오징어명란불고기,반반튀김(갑오징어/새우),갑오징어초무침,갑오징어연포탕","저녁식사,서민적인,캐주얼한"
17,따줘,4.5,134,1,5점,2,2,2,"오랜만에 동생과 오징어 백반 맛나게 먹었
어요~~  만나게 먹으면서 이야기도하고
모처럼 즐거웠어요",갑오징어불고기백반,"점심식사,서민적인"
17,밍민,4.8,232,2,5점,2,2,2,매콤하니 갑오징어가 맛있어서 밥이랑 잘 먹었어요 한끼먹기 좋네요,갑오징어백반,"저녁식사,캐주얼한"
17,서나라구,4.5,233,4,5점,2,2,2,"개업한지 얼마안된곳인데 체인점인가뵌요
둘이먹기에 양도 괜찮았네요",오삼불고기백반,"다이어트식단,점심식사,저녁식사,식사모임,혼밥,혼술,데이트,기념일,간식,가족외식,접대,배달,실버푸드,숨은맛집,서민적인,캐주얼한,가성비좋은,예쁜,조용한,깔끔한,지역주민이찾는,주차불가"
